Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,1,1,0,0
Mar 24,1,1,0,0
Mar 25,1,1,0,0
Mar 26,1,1,0,0
Mar 27,1,1,0,0
Mar 28,1,1,0,0
Mar 29,1,1,0,0
Mar 30,1,1,0,0
Mar 31,1,1,0,0
Apr 01,1,1,0,0
Apr 02,1,1,0,0
Apr 03,1,1,0,0
Apr 04,1,1,0,0
Apr 05,1,1,0,0
Apr 06,1,1,0,0
Apr 07,1,1,0,0
Apr 08,1,1,0,0
Apr 09,1,1,0,0
Apr 10,2,1,0,1
Apr 11,2,1,0,1
Apr 12,2,1,0,1
Apr 13,4,3,0,1
Apr 14,6,5,0,1
Apr 15,8,7,0,1
Apr 16,18,17,0,1
Apr 17,18,17,0,1
Apr 18,18,17,0,1
Apr 19,19,18,0,1
Apr 20,22,21,0,1
Apr 21,23,22,0,1
Apr 22,23,22,0,1
Apr 23,23,22,0,1
Apr 24,24,22,0,2
Apr 25,24,22,0,2
Apr 26,24,22,0,2
Apr 27,24,22,0,2
Apr 28,24,18,0,6
Apr 29,24,18,0,6
Apr 30,24,8,0,16
May 01,24,8,0,16
May 02,24,8,0,16
May 03,24,8,0,16
May 04,24,4,0,20
May 05,24,4,0,20
May 06,24,4,0,20
May 07,24,3,0,21
May 08,24,3,0,21
May 09,24,3,0,21
May 10,24,3,0,21
May 11,24,3,0,21
May 12,24,3,0,21
May 13,24,3,0,21
May 14,24,3,0,21
May 15,24,0,0,24
May 16,24,0,0,24
May 17,24,0,0,24
May 18,24,0,0,24
May 19,24,0,0,24
May 20,24,0,0,24
May 21,24,0,0,24
May 22,24,0,0,24
May 23,24,0,0,24
May 24,24,0,0,24
May 25,24,0,0,24
May 26,24,0,0,24
May 27,24,0,0,24
May 28,24,0,0,24
May 29,24,0,0,24
May 30,24,0,0,24
May 31,24,0,0,24
Jun 01,24,0,0,24
Jun 02,24,0,0,24
Jun 03,24,0,0,24
Jun 04,24,0,0,24
Jun 05,24,0,0,24
Jun 06,24,0,0,24
Jun 07,24,0,0,24
Jun 08,24,0,0,24
Jun 09,24,0,0,24
Jun 10,24,0,0,24
Jun 11,24,0,0,24
