Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,1,1,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,9,9,0,0
Mar 21,16,16,0,0
Mar 22,16,16,0,0
Mar 23,18,18,0,0
Mar 24,20,19,0,1
Mar 25,23,22,0,1
Mar 26,24,23,0,1
Mar 27,25,23,1,2
Mar 28,25,23,1,2
Mar 29,25,23,1,2
Mar 30,30,28,1,2
Mar 31,34,23,1,11
Apr 01,36,24,2,12
Apr 02,39,20,2,19
Apr 03,40,20,3,20
Apr 04,41,21,3,20
Apr 05,44,21,3,23
Apr 06,58,32,3,26
Apr 07,65,39,3,26
Apr 08,70,44,3,26
Apr 09,73,46,3,27
Apr 10,76,48,3,28
Apr 11,76,48,3,28
Apr 12,76,44,3,32
Apr 13,77,45,3,32
Apr 14,77,42,3,35
Apr 15,81,43,3,38
Apr 16,81,31,5,50
Apr 17,83,30,5,53
Apr 18,84,30,5,54
Apr 19,84,27,5,57
Apr 20,84,25,6,59
Apr 21,86,24,6,62
Apr 22,88,26,6,62
Apr 23,88,23,6,65
Apr 24,90,25,6,65
Apr 25,96,28,6,68
Apr 26,98,30,6,68
Apr 27,98,30,6,68
Apr 28,99,30,6,69
Apr 29,109,38,7,71
Apr 30,116,42,9,74
May 01,123,48,9,75
May 02,123,48,9,75
May 03,124,48,9,76
May 04,126,43,9,83
May 05,128,45,9,83
May 06,128,42,9,86
May 07,135,41,9,94
May 08,145,50,10,95
May 09,153,56,10,97
May 10,174,74,11,100
May 11,181,81,11,100
May 12,199,96,11,103
May 13,219,112,11,107
May 14,238,131,11,107
May 15,263,156,11,107
May 16,298,188,11,110
May 17,301,186,11,115
May 18,330,212,12,118
May 19,338,219,12,119
May 20,340,218,12,122
May 21,354,224,12,130
May 22,363,230,12,133
May 23,373,228,12,145
May 24,381,228,12,153
May 25,386,212,13,174
May 26,391,201,13,190
May 27,395,199,13,196
May 28,422,212,13,210
May 29,428,213,13,215
May 30,433,214,13,219
May 31,442,218,13,224
Jun 01,443,215,13,228
Jun 02,445,202,13,243
Jun 03,452,203,13,249
Jun 04,465,213,13,252
Jun 05,485,232,13,253
Jun 06,487,234,13,253
Jun 07,495,234,13,261
Jun 08,497,233,13,264
Jun 09,501,228,13,273
Jun 10,522,244,13,278
Jun 11,524,240,13,284
Jun 12,525,233,13,292
Jun 13,530,226,13,304
Jun 14,530,226,13,304
Jun 15,531,219,13,312
Jun 16,537,180,13,357
Jun 17,544,178,13,366
Jun 18,547,181,13,366
Jun 19,555,181,13,374
Jun 20,561,182,13,379
Jun 21,569,181,13,388
Jun 22,569,176,13,393
Jun 23,576,179,13,397
Jun 24,583,177,14,406
Jun 25,588,180,14,408
Jun 26,591,182,14,409
Jun 27,615,205,14,410
Jun 28,642,227,14,415
Jun 29,643,228,14,415
Jun 30,650,234,14,416
Jul 01,661,233,14,428
Jul 02,667,229,14,438
Jul 03,671,233,14,438
Jul 04,676,229,15,447
Jul 05,680,218,15,462
Jul 06,680,215,15,465
Jul 07,689,207,15,482
Jul 08,695,205,15,490
Jul 09,704,206,15,498
Jul 10,710,201,15,509
Jul 11,710,201,15,509
Jul 12,720,192,15,528
Jul 13,721,189,15,532
Jul 14,731,188,15,543
Jul 15,740,191,15,549
Jul 16,749,191,15,558
Jul 17,766,205,15,561
Jul 18,774,211,15,563
Jul 19,778,212,15,566
Jul 20,783,214,15,569
Jul 21,790,215,15,575
Jul 22,806,212,16,594
Jul 23,828,228,16,600
Jul 24,839,237,17,602
Jul 25,853,249,17,604
Jul 26,868,251,18,617
Jul 27,874,249,18,625
Jul 28,896,266,18,630
Jul 29,896,266,18,630
Jul 30,908,264,18,644
Jul 31,941,281,19,660
Aug 01,958,292,19,666
Aug 02,961,282,19,679
Aug 03,976,294,19,682
Aug 04,988,296,19,692
Aug 05,1001,290,21,711
Aug 06,1012,293,22,719
Aug 07,1028,296,22,732
Aug 08,1046,302,23,744
Aug 09,1060,308,23,752
Aug 10,1067,313,25,754
Aug 11,1070,292,26,778
Aug 12,1092,284,26,808
Aug 13,1104,287,26,817
Aug 14,1124,292,26,832
Aug 15,1130,267,27,863
Aug 16,1147,277,27,870
Aug 17,1154,269,27,885
Aug 18,1173,278,27,895
Aug 19,1190,288,27,902
Aug 20,1212,307,27,905
