Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,1,1,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,9,9,0,0
Mar 21,16,16,0,0
Mar 22,16,16,0,0
Mar 23,18,18,0,0
Mar 24,20,19,0,1
Mar 25,23,22,0,1
Mar 26,24,23,0,1
Mar 27,25,23,1,2
Mar 28,25,23,1,2
Mar 29,25,23,1,2
Mar 30,30,28,1,2
Mar 31,34,23,1,11
Apr 01,36,24,2,12
Apr 02,39,20,2,19
Apr 03,40,20,3,20
Apr 04,41,21,3,20
Apr 05,44,21,3,23
Apr 06,58,32,3,26
Apr 07,65,39,3,26
Apr 08,70,44,3,26
Apr 09,73,46,3,27
Apr 10,76,48,3,28
Apr 11,76,48,3,28
Apr 12,76,44,3,32
Apr 13,77,45,3,32
Apr 14,77,42,3,35
Apr 15,81,43,3,38
Apr 16,81,31,5,50
Apr 17,83,30,5,53
Apr 18,84,30,5,54
Apr 19,84,27,5,57
Apr 20,84,25,6,59
Apr 21,86,24,6,62
Apr 22,88,26,6,62
Apr 23,88,23,6,65
Apr 24,90,25,6,65
Apr 25,96,28,6,68
Apr 26,98,30,6,68
Apr 27,98,30,6,68
Apr 28,99,30,6,69
Apr 29,109,38,7,71
Apr 30,116,42,9,74
May 01,123,48,9,75
May 02,123,48,9,75
May 03,124,48,9,76
May 04,126,43,9,83
May 05,128,45,9,83
May 06,128,42,9,86
May 07,135,41,9,94
May 08,145,50,10,95
May 09,153,56,10,97
May 10,174,74,11,100
May 11,181,81,11,100
May 12,199,96,11,103
May 13,219,112,11,107
May 14,238,131,11,107
May 15,263,156,11,107
May 16,298,188,11,110
May 17,301,186,11,115
May 18,330,212,12,118
May 19,338,219,12,119
May 20,340,218,12,122
May 21,354,224,12,130
May 22,363,230,12,133
May 23,373,228,12,145
May 24,381,228,12,153
May 25,386,212,13,174
May 26,391,201,13,190
May 27,395,199,13,196
