Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,1,1,0,0
Mar 13,1,1,0,0
Mar 14,2,2,0,0
Mar 15,2,2,0,0
Mar 16,4,4,0,0
Mar 17,5,5,0,0
Mar 18,7,7,0,0
Mar 19,9,9,0,0
Mar 20,9,9,0,0
Mar 21,49,49,0,0
Mar 22,50,50,0,0
Mar 23,51,51,0,0
Mar 24,57,57,0,0
Mar 25,60,59,1,1
Mar 26,65,64,1,1
Mar 27,66,63,2,3
Mar 28,76,72,3,4
Mar 29,78,74,3,4
Mar 30,83,79,3,4
Mar 31,87,83,3,4
Apr 01,90,84,5,6
Apr 02,94,88,5,6
Apr 03,98,91,6,7
Apr 04,103,96,6,7
Apr 05,104,96,7,8
Apr 06,105,96,8,9
Apr 07,107,98,8,9
Apr 08,107,98,8,9
Apr 09,109,100,8,9
Apr 10,109,100,8,9
Apr 11,112,92,8,20
Apr 12,113,89,8,24
Apr 13,113,89,8,24
