Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,1,1,0,0
Mar 13,1,1,0,0
Mar 14,2,2,0,0
Mar 15,2,2,0,0
Mar 16,4,4,0,0
Mar 17,5,5,0,0
Mar 18,7,7,0,0
Mar 19,9,9,0,0
Mar 20,9,9,0,0
Mar 21,49,49,0,0
Mar 22,50,50,0,0
Mar 23,51,51,0,0
Mar 24,57,57,0,0
Mar 25,60,59,1,1
Mar 26,65,64,1,1
Mar 27,66,63,2,3
Mar 28,76,72,3,4
Mar 29,78,74,3,4
Mar 30,83,79,3,4
Mar 31,87,83,3,4
Apr 01,90,84,5,6
Apr 02,94,88,5,6
Apr 03,98,91,6,7
Apr 04,103,96,6,7
Apr 05,104,96,7,8
Apr 06,105,96,8,9
Apr 07,107,98,8,9
Apr 08,107,98,8,9
Apr 09,109,100,8,9
Apr 10,109,100,8,9
Apr 11,112,92,8,20
Apr 12,113,89,8,24
Apr 13,113,89,8,24
Apr 14,113,88,8,25
Apr 15,114,87,8,27
Apr 16,114,86,8,28
Apr 17,114,86,8,28
Apr 18,114,85,8,29
Apr 19,114,85,8,29
Apr 20,114,84,8,30
Apr 21,115,79,8,36
Apr 22,115,70,8,45
Apr 23,115,62,8,53
Apr 24,115,59,8,56
Apr 25,115,54,8,61
Apr 26,115,53,8,62
Apr 27,116,49,8,67
Apr 28,116,49,8,67
Apr 29,116,37,8,79
Apr 30,116,36,8,80
May 01,116,27,8,89
May 02,116,20,8,96
May 03,116,20,8,96
May 04,116,9,8,107
May 05,116,6,8,110
May 06,116,5,8,111
May 07,116,5,8,111
May 08,116,5,8,111
May 09,116,4,8,112
May 10,116,1,8,115
May 11,116,1,8,115
May 12,116,1,8,115
May 13,116,1,8,115
May 14,116,1,8,115
May 15,116,1,8,115
May 16,116,1,8,115
May 17,116,1,8,115
May 18,116,1,8,115
May 19,116,1,8,115
May 20,116,1,8,115
May 21,116,1,8,115
May 22,116,0,8,116
May 23,116,0,8,116
May 24,116,0,8,116
May 25,116,0,8,116
May 26,116,0,8,116
May 27,116,0,8,116
May 28,116,0,8,116
May 29,116,0,8,116
May 30,116,0,8,116
May 31,117,1,8,116
Jun 01,117,1,8,116
Jun 02,117,1,8,116
Jun 03,117,1,8,116
Jun 04,117,1,8,116
Jun 05,117,1,8,116
Jun 06,117,1,8,116
Jun 07,117,1,8,116
Jun 08,117,0,8,117
Jun 09,117,0,8,117
Jun 10,117,0,8,117
Jun 11,117,0,8,117
