Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,2,2,0,0
Mar 09,5,5,0,0
Mar 10,6,6,0,0
Mar 11,7,7,0,0
Mar 12,13,13,0,0
Mar 13,16,16,0,0
Mar 14,18,18,0,0
Mar 15,20,20,0,0
Mar 16,24,24,0,0
Mar 17,27,26,0,1
Mar 18,29,28,0,1
Mar 19,39,37,1,2
Mar 20,54,52,1,2
Mar 21,60,58,1,2
Mar 22,75,71,3,4
Mar 23,89,85,3,4
Mar 24,114,109,4,5
Mar 25,173,166,5,7
Mar 26,197,190,5,7
Mar 27,227,218,7,9
Mar 28,278,268,8,10
Mar 29,312,302,8,10
Mar 30,362,350,9,12
Mar 31,394,381,10,13
Apr 01,423,406,12,17
Apr 02,455,436,14,19
Apr 03,495,472,18,23
Apr 04,553,530,18,23
Apr 05,574,547,22,27
Apr 06,596,569,22,27
Apr 07,623,575,23,48
Apr 08,628,579,24,49
Apr 09,643,593,25,50
Apr 10,671,621,25,50
Apr 11,685,614,28,71
Apr 12,707,633,31,74
Apr 13,726,649,34,77
Apr 14,747,670,34,77
Apr 15,780,702,35,78
Apr 16,822,742,37,80
Apr 17,864,784,37,80
Apr 18,866,786,37,80
Apr 19,879,798,38,81
Apr 20,884,698,38,186
Apr 21,901,693,38,208
Apr 22,909,681,38,228
Apr 23,918,690,38,228
Apr 24,922,690,38,232
Apr 25,939,694,38,245
Apr 26,949,695,38,254
Apr 27,967,649,39,318
Apr 28,975,656,40,319
