Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,2,2,0,0
Mar 09,5,5,0,0
Mar 10,6,6,0,0
Mar 11,7,7,0,0
Mar 12,13,13,0,0
Mar 13,16,16,0,0
Mar 14,18,18,0,0
Mar 15,20,20,0,0
Mar 16,24,24,0,0
Mar 17,27,26,0,1
Mar 18,29,28,0,1
Mar 19,39,37,1,2
Mar 20,54,52,1,2
Mar 21,60,58,1,2
Mar 22,75,71,3,4
Mar 23,89,85,3,4
Mar 24,114,109,4,5
Mar 25,173,166,5,7
Mar 26,197,190,5,7
Mar 27,227,218,7,9
Mar 28,278,268,8,10
Mar 29,312,302,8,10
Mar 30,362,350,9,12
Mar 31,394,381,10,13
Apr 01,423,406,12,17
Apr 02,455,436,14,19
Apr 03,495,472,18,23
Apr 04,553,530,18,23
Apr 05,574,547,22,27
Apr 06,596,569,22,27
Apr 07,623,575,23,48
Apr 08,628,579,24,49
Apr 09,643,593,25,50
Apr 10,671,621,25,50
Apr 11,685,614,28,71
Apr 12,707,633,31,74
Apr 13,726,649,34,77
Apr 14,747,670,34,77
Apr 15,780,702,35,78
Apr 16,822,742,37,80
Apr 17,864,784,37,80
Apr 18,866,786,37,80
Apr 19,879,798,38,81
Apr 20,884,698,38,186
Apr 21,901,693,38,208
Apr 22,909,681,38,228
Apr 23,918,690,38,228
Apr 24,922,690,38,232
Apr 25,939,694,38,245
Apr 26,949,695,38,254
Apr 27,967,649,39,318
Apr 28,975,656,40,319
Apr 29,980,646,40,334
Apr 30,994,648,41,346
May 01,998,641,41,357
May 02,1009,644,42,365
May 03,1013,643,42,370
May 04,1018,569,43,449
May 05,1022,497,43,525
May 06,1025,391,43,634
May 07,1026,382,44,644
May 08,1030,347,45,683
May 09,1032,327,45,705
May 10,1032,327,45,705
May 11,1032,287,45,745
May 12,1032,247,45,785
May 13,1032,228,45,804
May 14,1032,217,45,815
May 15,1035,188,45,847
May 16,1037,185,45,852
May 17,1037,176,45,861
May 18,1043,179,45,864
May 19,1043,178,46,865
May 20,1045,136,47,909
May 21,1046,116,47,930
May 22,1048,98,47,950
May 23,1048,98,47,950
May 24,1048,86,48,962
May 25,1051,84,48,967
May 26,1051,84,48,967
May 27,1051,74,48,977
May 28,1068,82,48,986
May 29,1071,77,48,994
May 30,1076,78,48,998
May 31,1077,69,48,1008
Jun 01,1084,72,48,1012
Jun 02,1086,73,48,1013
Jun 03,1087,73,49,1014
Jun 04,1087,70,49,1017
Jun 05,1087,69,49,1018
Jun 06,1087,61,49,1026
Jun 07,1087,56,49,1031
Jun 08,1087,56,49,1031
Jun 09,1087,56,49,1031
Jun 10,1087,55,49,1032
Jun 11,1087,49,49,1038
Jun 12,1093,49,49,1044
Jun 13,1094,50,49,1044
Jun 14,1096,49,49,1047
Jun 15,1110,62,49,1048
Jun 16,1125,74,49,1051
Jun 17,1128,74,50,1054
Jun 18,1132,76,50,1056
Jun 19,1146,82,50,1064
Jun 20,1156,89,50,1067
Jun 21,1157,87,50,1070
Jun 22,1159,89,50,1070
Jun 23,1159,86,50,1073
Jun 24,1160,87,50,1073
Jun 25,1162,89,50,1073
Jun 26,1164,91,50,1073
Jun 27,1168,93,50,1075
Jun 28,1169,90,50,1079
Jun 29,1172,93,50,1079
Jun 30,1174,93,50,1081
Jul 01,1175,87,50,1088
Jul 02,1178,89,50,1089
Jul 03,1181,86,50,1095
Jul 04,1186,90,50,1096
Jul 05,1188,90,50,1098
Jul 06,1199,100,50,1099
Jul 07,1205,106,50,1099
Jul 08,1221,121,50,1100
Jul 09,1231,126,50,1105
Jul 10,1240,123,50,1117
Jul 11,1245,119,50,1126
Jul 12,1263,137,50,1126
Jul 13,1302,170,50,1132
Jul 14,1306,169,50,1137
Jul 15,1319,178,50,1141
Jul 16,1327,184,50,1143
Jul 17,1336,191,50,1145
Jul 18,1348,203,50,1145
Jul 19,1374,227,50,1147
Jul 20,1381,232,50,1149
Jul 21,1389,236,50,1153
Jul 22,1394,236,50,1158
Jul 23,1406,238,50,1168
Jul 24,1425,251,50,1174
Jul 25,1443,260,50,1183
Jul 26,1452,260,50,1192
Jul 27,1455,248,50,1207
Jul 28,1468,250,50,1218
Jul 29,1488,260,50,1228
Jul 30,1514,277,50,1237
Jul 31,1535,290,50,1245
Aug 01,1552,284,51,1268
Aug 02,1561,289,51,1272
Aug 03,1565,289,51,1276
Aug 04,1584,306,51,1278
Aug 05,1601,317,51,1284
Aug 06,1642,350,51,1292
Aug 07,1656,354,51,1302
Aug 08,1678,368,51,1310
Aug 09,1697,383,51,1314
Aug 10,1717,401,51,1316
Aug 11,1738,414,52,1324
Aug 12,1780,450,52,1330
Aug 13,1847,492,53,1355
Aug 14,1903,530,53,1373
Aug 15,2023,642,54,1381
Aug 16,2107,695,54,1412
Aug 17,2185,767,56,1418
Aug 18,2314,887,57,1427
Aug 19,2427,972,60,1455
Aug 20,2543,1083,63,1460
