Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,1,1,0,0
Mar 13,5,5,0,0
Mar 14,6,6,0,0
Mar 15,18,18,0,0
Mar 16,47,47,0,0
Mar 17,98,97,1,1
Mar 18,191,189,2,2
Mar 19,359,355,4,4
Mar 20,670,661,9,9
Mar 21,947,926,21,21
Mar 22,1236,1206,30,30
Mar 23,1529,1492,37,37
Mar 24,1872,1828,44,44
Mar 25,2433,2348,59,85
Mar 26,3629,3528,75,101
Mar 27,5698,5564,92,134
Mar 28,7402,7224,108,178
Mar 29,9217,8981,131,236
Mar 30,10827,10497,168,330
Mar 31,13531,13074,214,457
Apr 01,15679,15069,277,610
Apr 02,18135,17364,356,771
Apr 03,20921,20012,425,909
Apr 04,23934,22647,501,1287
Apr 05,27069,25453,574,1616
Apr 06,30217,28242,649,1975
Apr 07,34109,31802,725,2307
Apr 08,38226,35568,812,2658
Apr 09,42282,39232,908,3050
Apr 10,47029,43600,1006,3429
Apr 11,52167,48101,1101,4066
Apr 12,56956,52312,1198,4644
Apr 13,61049,55796,1296,5253
Apr 14,65111,58909,1403,6202
Apr 15,69392,62200,1518,7192
Apr 16,74193,65461,1643,8732
Apr 17,78546,68146,1769,10400
Apr 18,82329,69986,1890,12343
Apr 19,86306,72313,2017,13993
Apr 20,90980,75410,2140,15570
Apr 21,95591,78414,2259,17177
Apr 22,98674,79821,2376,18853
Apr 23,101790,80808,2491,20982
Apr 24,104912,80575,2600,24337
Apr 25,107773,79485,2706,28288
Apr 26,110130,78185,2805,31945
Apr 27,112261,75570,2900,36691
Apr 28,114653,72852,2992,41801
Apr 29,117589,70468,3081,47121
Apr 30,120204,68144,3174,52060
May 01,122392,65326,3258,57066
May 02,124375,62780,3336,61595
May 03,126045,59497,3397,66548
May 04,127659,56032,3461,71627
May 05,129491,52686,3520,76805
May 06,131744,49958,3584,81786
May 07,133721,47096,3641,86625
May 08,135569,45484,3689,90085
May 09,137115,43896,3739,93219
May 10,138657,42180,3786,96477
May 11,139771,40150,3841,99621
May 12,141475,38692,3894,102783
May 13,143114,37447,3952,105667
May 14,144749,36712,4007,108037
May 15,146457,36269,4055,110188
May 16,148067,35834,4096,112233
May 17,149435,35333,4140,114102
May 18,150593,34845,4171,115748
May 19,151615,34521,4199,117094
May 20,152587,34378,4222,118209
May 21,153548,34309,4249,119239
May 22,154500,34113,4276,120387
May 23,155686,33776,4308,121910
May 24,156827,33793,4340,123034
May 25,157814,33430,4369,124384
May 26,158762,32858,4397,125904
May 27,159797,32573,4431,127224
May 28,160979,32149,4461,128830
May 29,162120,31668,4489,130452
May 30,163103,31604,4515,131499
May 31,163942,31429,4540,132513
Jun 01,164769,31259,4563,133510
