Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,1,1,0,0
Mar 24,1,1,0,0
Mar 25,1,1,0,0
Mar 26,2,2,0,0
Mar 27,2,2,0,0
Mar 28,4,4,0,0
Mar 29,4,4,0,0
Mar 30,5,5,0,0
Mar 31,5,5,0,0
Apr 01,6,6,0,0
Apr 02,5,5,0,0
Apr 03,5,5,0,0
Apr 04,5,5,0,0
Apr 05,5,4,1,1
Apr 06,8,7,1,1
Apr 07,8,7,1,1
Apr 08,8,7,1,1
Apr 09,8,7,1,1
Apr 10,8,7,1,1
Apr 11,9,8,1,1
Apr 12,9,8,1,1
Apr 13,10,9,1,1
Apr 14,10,9,1,1
Apr 15,10,9,1,1
Apr 16,11,10,1,1
Apr 17,11,10,1,1
Apr 18,11,10,1,1
Apr 19,11,10,1,1
Apr 20,11,10,1,1
Apr 21,11,10,1,1
Apr 22,11,6,1,5
Apr 23,11,6,1,5
Apr 24,11,6,1,5
Apr 25,11,6,1,5
Apr 26,11,6,1,5
Apr 27,12,6,1,6
Apr 28,12,6,1,6
Apr 29,12,6,1,6
Apr 30,12,6,1,6
May 01,12,6,1,6
May 02,12,6,1,6
May 03,12,6,1,6
May 04,12,5,1,7
May 05,12,5,1,7
May 06,12,5,1,7
May 07,12,5,1,7
May 08,12,3,1,9
May 09,12,3,1,9
May 10,12,3,1,9
May 11,12,3,1,9
May 12,12,3,1,9
May 13,12,1,1,11
May 14,12,1,1,11
May 15,12,1,1,11
May 16,12,1,1,11
May 17,12,1,1,11
May 18,12,1,1,11
May 19,12,1,1,11
May 20,12,1,1,11
May 21,12,1,1,11
May 22,12,1,1,11
May 23,12,1,1,11
May 24,12,1,1,11
May 25,12,1,1,11
May 26,12,1,1,11
May 27,12,1,1,11
