Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,8,5,0,3
Feb 16,9,6,0,3
Feb 17,9,6,0,3
Feb 18,9,6,0,3
Feb 19,9,6,0,3
Feb 20,9,6,0,3
Feb 21,11,8,0,3
Feb 22,13,10,0,3
Feb 23,13,10,0,3
Feb 24,13,10,0,3
Feb 25,13,10,0,3
Feb 26,13,10,0,3
Feb 27,19,14,0,5
Feb 28,19,14,0,5
Feb 29,21,16,0,5
Mar 01,21,16,0,5
Mar 02,21,16,0,5
Mar 03,27,22,0,5
Mar 04,28,23,0,5
Mar 05,28,23,0,5
Mar 06,45,38,0,7
Mar 07,45,38,0,7
Mar 08,45,38,0,7
Mar 09,59,47,0,12
Mar 10,74,62,0,12
Mar 11,74,57,0,17
Mar 12,85,65,0,20
Mar 13,85,65,0,20
Mar 14,85,65,0,20
Mar 15,98,75,0,23
Mar 16,98,75,0,23
Mar 17,113,87,0,26
Mar 18,113,87,0,26
Mar 19,140,109,0,31
Mar 20,140,107,2,33
Mar 21,153,113,2,40
Mar 22,153,113,2,40
Mar 23,198,155,2,43
Mar 24,248,201,2,47
Mar 25,333,279,2,54
Mar 26,333,279,2,54
Mar 27,405,351,2,54
Mar 28,468,414,2,54
Mar 29,570,509,3,61
Mar 30,611,545,5,66
Mar 31,664,597,6,67
Apr 01,814,745,8,69
Apr 02,1024,920,8,104
Apr 03,1264,1147,9,117
Apr 04,1505,1370,10,135
Apr 05,1799,1645,10,154
Apr 06,2076,1898,11,178
Apr 07,2359,2161,12,198
Apr 08,2659,2408,12,251
Apr 09,2990,2708,14,282
Apr 10,3360,2926,16,434
Apr 11,3736,3128,20,608
Apr 12,4123,3421,22,702
Apr 13,4521,3644,25,877
Apr 14,4933,3972,28,961
Apr 15,5365,4298,33,1067
Apr 16,5825,4695,35,1130
Apr 17,6302,5077,37,1225
Apr 18,6302,5077,37,1225
Apr 19,6781,5454,41,1327
Apr 20,7265,5862,43,1403
Apr 21,7755,6266,46,1489
Apr 22,8238,6640,52,1598
Apr 23,8756,7063,56,1693
Apr 24,9281,7457,64,1824
Apr 25,9813,7855,71,1958
Apr 26,10349,8295,76,2054
Apr 27,10839,8667,82,2172
Apr 28,11380,9110,89,2270
Apr 29,11929,9502,98,2427
Apr 30,12481,9947,105,2534
May 01,13038,10384,111,2654
May 02,13599,10816,119,2783
May 03,14163,11274,126,2889
May 04,14730,11627,137,3103
May 05,15192,11893,146,3299
May 06,15738,12222,157,3516
May 07,16240,12503,165,3737
May 08,16793,12782,174,4011
May 09,17417,12937,185,4480
May 10,18198,13196,198,5002
May 11,18878,13296,201,5582
May 12,19661,13446,203,6215
May 13,20386,13657,206,6729
May 14,21084,13946,208,7138
May 15,21831,14293,210,7538
May 16,22627,14482,214,8145
May 17,23358,14626,220,8732
May 18,24190,14389,224,9801
May 19,25063,14045,227,11018
May 20,26004,13962,233,12042
May 21,26898,13906,237,12992
May 22,27892,13853,241,14039
May 23,28704,13965,244,14739
May 24,29485,14184,245,15301
May 25,30307,14402,248,15905
May 26,31086,14851,253,16235
May 27,31969,15343,255,16626
May 28,32532,15589,258,16943
May 29,33170,15813,260,17357
May 30,33896,16088,262,17808
May 31,34557,16361,264,18196
Jun 01,35192,16588,266,18604
Jun 02,35788,16793,269,18995
Jun 03,36359,16936,270,19423
Jun 04,37018,17173,273,19845
Jun 05,37642,17031,274,20611
Jun 06,38268,16932,275,21336
Jun 07,38808,16726,276,22082
Jun 08,39376,16820,281,22556
Jun 09,39904,16881,283,23023
Jun 10,40507,16206,284,24301
Jun 11,40986,15466,286,25520
