Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,15,12,0,3
Feb 16,15,12,0,3
Feb 17,15,12,0,3
Feb 18,15,12,0,3
Feb 19,15,12,0,3
Feb 20,15,10,0,5
Feb 21,35,29,0,6
Feb 22,35,29,0,6
Feb 23,35,28,0,7
Feb 24,53,48,0,5
Feb 25,57,51,0,6
Feb 26,60,54,0,6
Feb 27,60,54,0,6
Feb 28,63,57,0,6
Feb 29,68,60,1,8
Mar 01,75,65,1,10
Mar 02,100,85,6,15
Mar 03,124,106,9,18
Mar 04,158,138,11,20
Mar 05,221,200,12,21
Mar 06,319,289,15,30
Mar 07,435,401,19,34
Mar 08,541,504,22,37
Mar 09,704,663,26,41
Mar 10,994,949,30,45
Mar 11,1301,1248,38,53
Mar 12,1630,1581,41,49
Mar 13,2183,2126,48,57
Mar 14,2770,2664,57,106
Mar 15,3613,3484,69,129
Mar 16,4596,4434,87,162
Mar 17,6346,6129,110,217
Mar 18,9296,9032,150,264
Mar 19,13865,13548,206,317
Mar 20,19497,19092,255,405
Mar 21,24345,23870,301,475
Mar 22,33745,33150,414,595
Mar 23,44056,43199,556,857
Mar 24,55222,54044,781,1178
Mar 25,68673,67231,1028,1442
Mar 26,86061,82872,1296,3189
Mar 27,104804,100548,1697,4256
Mar 28,124256,118766,2222,5490
Mar 29,144321,137133,2592,7188
Mar 30,165053,156355,3150,8698
Mar 31,189967,178601,4064,11366
Apr 01,216622,202573,5114,14049
Apr 02,246729,230155,6088,16574
Apr 03,279183,259663,7139,19520
Apr 04,313379,289987,8469,23392
Apr 05,338779,311068,9636,27711
Apr 06,370019,339277,10895,30742
Apr 07,403521,368778,12868,34743
Apr 08,435518,397816,14811,37702
Apr 09,469124,426484,16712,42640
Apr 10,502876,456815,18747,46061
Apr 11,532879,481849,20577,51030
Apr 12,560300,505561,22105,54739
Apr 13,586941,526353,23640,60588
