Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,15,12,0,3
Feb 16,15,12,0,3
Feb 17,15,12,0,3
Feb 18,15,12,0,3
Feb 19,15,12,0,3
Feb 20,15,10,0,5
Feb 21,35,29,0,6
Feb 22,35,29,0,6
Feb 23,35,28,0,7
Feb 24,53,48,0,5
Feb 25,57,51,0,6
Feb 26,60,54,0,6
Feb 27,60,54,0,6
Feb 28,63,57,0,6
Feb 29,68,60,1,8
Mar 01,75,65,1,10
Mar 02,100,85,6,15
Mar 03,124,106,9,18
Mar 04,158,138,11,20
Mar 05,221,200,12,21
Mar 06,319,289,15,30
Mar 07,435,401,19,34
Mar 08,541,504,22,37
Mar 09,704,663,26,41
Mar 10,994,949,30,45
Mar 11,1301,1248,38,53
Mar 12,1630,1581,41,49
Mar 13,2183,2126,48,57
Mar 14,2771,2664,58,107
Mar 15,3617,3484,73,133
Mar 16,4604,4434,95,170
Mar 17,6357,6129,121,228
Mar 18,9317,9032,171,285
Mar 19,13898,13548,239,350
Mar 20,19551,19092,309,459
Mar 21,24418,23870,374,548
Mar 22,33840,33150,509,690
Mar 23,44189,43199,689,990
Mar 24,55398,54044,957,1354
Mar 25,68905,67231,1260,1674
Mar 26,86379,82872,1614,3507
Mar 27,105217,100548,2110,4669
Mar 28,124788,118766,2754,6022
Mar 29,144980,137133,3251,7847
Mar 30,168177,158563,4066,9614
Mar 31,193353,180900,5151,12453
Apr 01,220295,204966,6394,15329
Apr 02,250708,232646,7576,18062
Apr 03,283477,262257,8839,21220
Apr 04,317994,292687,10384,25307
Apr 05,343747,313879,11793,29868
Apr 06,375348,342203,13298,33145
Apr 07,409225,371824,15526,37401
Apr 08,441569,400987,17691,40582
Apr 09,475515,429785,19802,45730
Apr 10,509604,460252,22038,49352
Apr 11,539942,485427,24062,54515
Apr 12,567708,509285,25789,58423
Apr 13,594693,530230,27515,64463
Apr 14,621953,553052,30081,68901
Apr 15,652474,571061,32712,81413
Apr 16,682454,590041,34905,92413
Apr 17,714822,616864,37448,97958
Apr 18,743901,636301,39331,107600
Apr 19,770014,657926,40901,112088
Apr 20,798145,682903,42853,115242
Apr 21,824229,695770,45536,128459
Apr 22,854385,722441,47894,131944
Apr 23,886274,750118,50234,136156
Apr 24,925232,762609,52191,162623
Apr 25,960651,788233,54256,172418
Apr 26,987160,812967,55412,174193
Apr 27,1010356,814570,56796,195786
Apr 28,1035765,834261,59266,201504
