Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,15,12,0,3
Feb 16,15,12,0,3
Feb 17,15,12,0,3
Feb 18,15,12,0,3
Feb 19,15,12,0,3
Feb 20,15,10,0,5
Feb 21,35,29,0,6
Feb 22,35,29,0,6
Feb 23,35,28,0,7
Feb 24,53,48,0,5
Feb 25,57,51,0,6
Feb 26,60,54,0,6
Feb 27,60,54,0,6
Feb 28,63,57,0,6
Feb 29,68,60,1,8
Mar 01,75,65,1,10
Mar 02,100,85,6,15
Mar 03,124,106,9,18
Mar 04,158,138,11,20
Mar 05,221,200,12,21
Mar 06,319,289,15,30
Mar 07,435,401,19,34
Mar 08,541,504,22,37
Mar 09,704,663,26,41
Mar 10,994,949,30,45
Mar 11,1301,1248,38,53
Mar 12,1630,1581,41,49
Mar 13,2184,2127,48,57
Mar 14,2773,2666,58,107
Mar 15,3621,3488,73,133
Mar 16,4609,4439,95,170
Mar 17,6363,6135,121,228
Mar 18,9328,9043,171,285
Mar 19,13927,13577,239,350
Mar 20,19598,19139,309,459
Mar 21,24485,23937,374,548
Mar 22,33928,33238,509,690
Mar 23,44302,43312,689,990
Mar 24,55550,54196,957,1354
Mar 25,69100,67425,1261,1675
Mar 26,86621,83112,1616,3509
Mar 27,105527,100855,2113,4672
Mar 28,125182,119156,2758,6026
Mar 29,145445,137593,3256,7852
Mar 30,168728,159107,4073,9621
Mar 31,193999,181536,5161,12463
Apr 01,221086,205744,6407,15342
Apr 02,251622,233544,7592,18078
Apr 03,284556,263317,8858,21239
Apr 04,319198,293869,10406,25329
Apr 05,345077,315184,11818,29893
Apr 06,376805,343630,13328,33175
Apr 07,410830,373394,15561,37436
Apr 08,443290,401233,17731,42057
Apr 09,477334,431559,19847,45775
Apr 10,511531,462125,22092,49406
Apr 11,541971,487397,24121,54574
Apr 12,569792,511306,25852,58486
Apr 13,596861,532330,27583,64531
Apr 14,624237,555261,30156,68976
Apr 15,654848,573353,32794,81495
Apr 16,684930,592428,34994,92502
Apr 17,717362,619309,37543,98053
Apr 18,746506,638225,39429,108281
Apr 19,772673,659312,41003,113361
Apr 20,800853,683742,42958,117111
Apr 21,827019,696083,45651,130936
Apr 22,857260,721637,48014,135623
Apr 23,889261,748011,50361,141250
Apr 24,928333,761392,52323,166941
Apr 25,963800,786438,54396,177362
Apr 26,990358,810596,55554,179762
Apr 27,1013591,811605,56941,201986
Apr 28,1039089,830745,59418,208344
Apr 29,1067614,851065,61812,216549
Apr 30,1098526,874215,64018,224311
May 01,1134616,898527,65918,236089
May 02,1164432,914246,67616,250186
May 03,1191826,934901,68770,256925
May 04,1216556,947894,70098,268662
May 05,1241392,957138,72450,284254
May 06,1266907,967121,74981,299786
May 07,1296488,989658,77114,306830
May 08,1325732,1009546,78803,316186
May 09,1351922,1018928,80232,332994
May 10,1372703,1034310,80983,338393
May 11,1391384,1045591,82044,345793
May 12,1414346,1032036,83920,382310
May 13,1436690,1038441,85744,398249
May 14,1464725,1056264,87500,408461
May 15,1492295,1071670,89104,420625
May 16,1516590,1082493,90324,434097
May 17,1536758,1094416,91189,442342
May 18,1560268,1106113,92193,454155
May 19,1581030,1118030,93750,463000
May 20,1603656,1129924,95155,473732
May 21,1632460,1143220,96569,489240
May 22,1657079,1115353,97868,541726
May 23,1678981,1121559,98904,557422
May 24,1698879,1134326,99519,564553
May 25,1718776,1139135,100025,579641
May 26,1738149,1140527,100800,597622
May 27,1758868,1147769,102338,611099
May 28,1781923,1158927,103563,622996
May 29,1807579,1173978,104776,633601
May 30,1831305,1180604,105793,650701
May 31,1852029,1135729,106432,716300
Jun 01,1874440,1141613,107163,732827
Jun 02,1896698,1131818,108299,764880
Jun 03,1917496,1108642,109383,808854
Jun 04,1940315,1106312,110415,834003
Jun 05,1965708,1115672,111390,850036
Jun 06,1988544,1124753,112096,863791
Jun 07,2007449,1133272,112469,874177
Jun 08,2026493,1139958,113055,886535
Jun 09,2045549,1142539,114148,903010
Jun 10,2066401,1142777,115130,923624
Jun 11,2089701,1157581,116034,932120
