Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,9,9,0,0
Mar 24,9,9,0,0
Mar 25,14,14,0,0
Mar 26,14,14,0,0
Mar 27,23,23,0,0
Mar 28,30,30,0,0
Mar 29,33,33,0,0
Mar 30,33,33,0,0
Mar 31,44,44,0,0
Apr 01,44,44,0,0
Apr 02,45,45,0,0
Apr 03,48,48,0,0
Apr 04,48,48,0,0
Apr 05,52,52,0,0
Apr 06,52,52,0,0
Apr 07,52,52,0,0
Apr 08,53,53,0,0
Apr 09,53,53,0,0
Apr 10,53,53,0,0
Apr 11,53,49,0,4
Apr 12,54,50,0,4
Apr 13,54,47,0,7
Apr 14,55,47,0,8
Apr 15,55,43,0,12
Apr 16,55,35,0,20
Apr 17,55,35,0,20
Apr 18,55,33,0,22
Apr 19,55,27,0,28
Apr 20,56,18,0,38
Apr 21,61,23,0,38
Apr 22,63,18,0,45
Apr 23,74,28,0,46
Apr 24,75,29,0,46
Apr 25,75,29,0,46
Apr 26,79,33,0,46
Apr 27,79,32,0,47
Apr 28,79,27,0,52
Apr 29,81,29,0,52
Apr 30,83,31,0,52
May 01,85,33,0,52
May 02,88,36,0,52
May 03,89,37,0,52
May 04,97,42,0,55
May 05,98,43,0,55
May 06,100,45,0,55
May 07,101,46,0,55
May 08,101,46,0,55
May 09,116,61,0,55
May 10,121,66,0,55
May 11,121,66,0,55
May 12,126,71,0,55
May 13,139,84,0,55
May 14,160,97,0,63
May 15,203,140,0,63
May 16,227,164,0,63
May 17,227,164,0,63
May 18,248,185,0,63
May 19,260,197,0,63
May 20,264,199,0,65
May 21,160,94,0,66
May 22,175,107,0,68
May 23,198,130,0,68
May 24,198,130,0,68
May 25,222,153,0,69
May 26,253,184,0,69
May 27,281,212,0,69
May 28,317,248,0,69
May 29,329,257,0,72
May 30,413,341,0,72
May 31,417,345,0,72
Jun 01,457,385,0,72
Jun 02,489,407,0,82
Jun 03,507,425,0,82
Jun 04,522,440,0,82
Jun 05,557,475,0,82
Jun 06,593,511,0,82
Jun 07,616,520,0,96
Jun 08,646,543,0,103
Jun 09,657,539,0,118
Jun 10,665,546,0,119
Jun 11,679,518,0,161
Jun 12,686,525,0,161
Jun 13,694,475,0,219
Jun 14,696,456,0,240
Jun 15,705,406,0,299
Jun 16,724,373,0,351
Jun 17,732,312,0,420
Jun 18,741,255,0,486
Jun 19,755,263,0,492
Jun 20,763,271,0,492
Jun 21,770,192,0,578
Jun 22,774,143,0,631
Jun 23,797,98,0,699
Jun 24,805,88,0,717
Jun 25,821,90,0,731
Jun 26,833,72,0,761
Jun 27,848,87,0,761
Jun 28,859,65,0,794
Jun 29,870,62,0,808
Jun 30,889,70,0,819
Jul 01,893,56,0,837
Jul 02,902,55,0,847
Jul 03,911,62,0,849
Jul 04,927,59,0,868
Jul 05,939,48,0,891
Jul 06,953,61,0,892
Jul 07,971,75,0,896
Jul 08,977,73,0,904
Jul 09,1000,92,0,908
Jul 10,1006,68,0,938
Jul 11,1013,61,0,952
Jul 12,1025,67,0,958
Jul 13,1029,71,0,958
Jul 14,1040,82,0,958
Jul 15,1043,85,0,958
Jul 16,1051,93,0,958
Jul 17,1056,98,0,958
Jul 18,1062,104,0,958
Jul 19,1065,107,0,958
Jul 20,1069,111,0,958
Jul 21,1075,117,0,958
Jul 22,1075,117,0,958
Jul 23,1079,108,0,971
Jul 24,1089,113,1,976
Jul 25,1103,120,1,983
Jul 26,1115,131,2,984
Jul 27,1128,140,2,988
Jul 28,1135,144,2,991
Jul 29,1140,110,2,1030
Jul 30,1147,117,2,1030
Jul 31,1154,123,3,1031
Aug 01,1176,127,4,1049
Aug 02,1182,133,4,1049
Aug 03,1195,120,5,1075
Aug 04,1203,125,5,1078
Aug 05,1213,106,5,1107
Aug 06,1223,116,5,1107
Aug 07,1254,135,6,1119
Aug 08,1267,146,6,1121
Aug 09,1283,161,7,1122
Aug 10,1297,151,9,1146
Aug 11,1313,166,9,1147
Aug 12,1332,184,9,1148
Aug 13,1353,201,11,1152
Aug 14,1385,231,12,1154
Aug 15,1434,279,13,1155
Aug 16,1500,345,13,1155
Aug 17,1560,380,15,1180
Aug 18,1603,423,15,1180
Aug 19,1656,452,16,1204
Aug 20,1750,537,19,1213
