Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,9,9,0,0
Mar 24,9,9,0,0
Mar 25,14,14,0,0
Mar 26,14,14,0,0
Mar 27,23,23,0,0
Mar 28,30,30,0,0
Mar 29,33,33,0,0
Mar 30,33,33,0,0
Mar 31,44,44,0,0
Apr 01,44,44,0,0
Apr 02,45,45,0,0
Apr 03,48,48,0,0
Apr 04,48,48,0,0
Apr 05,52,52,0,0
Apr 06,52,52,0,0
Apr 07,52,52,0,0
Apr 08,53,53,0,0
Apr 09,53,53,0,0
Apr 10,53,53,0,0
Apr 11,53,49,0,4
Apr 12,54,50,0,4
Apr 13,54,47,0,7
Apr 14,55,47,0,8
Apr 15,55,43,0,12
Apr 16,55,35,0,20
Apr 17,55,35,0,20
Apr 18,55,33,0,22
Apr 19,55,27,0,28
Apr 20,56,18,0,38
Apr 21,61,23,0,38
Apr 22,63,18,0,45
Apr 23,74,28,0,46
Apr 24,75,29,0,46
Apr 25,75,29,0,46
Apr 26,79,33,0,46
Apr 27,79,32,0,47
Apr 28,79,27,0,52
Apr 29,81,29,0,52
Apr 30,83,31,0,52
May 01,85,33,0,52
May 02,88,36,0,52
May 03,89,37,0,52
May 04,97,42,0,55
May 05,98,43,0,55
May 06,100,45,0,55
May 07,101,46,0,55
May 08,101,46,0,55
May 09,116,61,0,55
May 10,121,66,0,55
May 11,121,66,0,55
May 12,126,71,0,55
May 13,139,84,0,55
May 14,160,97,0,63
May 15,203,140,0,63
May 16,227,164,0,63
May 17,227,164,0,63
May 18,248,185,0,63
May 19,260,197,0,63
May 20,264,199,0,65
May 21,160,94,0,66
May 22,175,107,0,68
May 23,198,130,0,68
May 24,198,130,0,68
May 25,222,153,0,69
May 26,253,184,0,69
May 27,281,212,0,69
May 28,317,248,0,69
May 29,329,257,0,72
May 30,413,341,0,72
May 31,417,345,0,72
Jun 01,457,385,0,72
Jun 02,489,407,0,82
Jun 03,507,425,0,82
Jun 04,522,440,0,82
Jun 05,557,475,0,82
Jun 06,593,511,0,82
Jun 07,616,520,0,96
Jun 08,646,543,0,103
Jun 09,657,539,0,118
Jun 10,665,546,0,119
Jun 11,679,518,0,161
