Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,1,1,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,1,1,0,0
Mar 24,4,4,0,0
Mar 25,4,4,0,0
Mar 26,4,4,0,0
Mar 27,4,4,0,0
Mar 28,6,6,0,0
Mar 29,6,6,0,0
Mar 30,6,6,0,0
Mar 31,6,6,0,0
Apr 01,6,6,0,0
Apr 02,7,7,0,0
Apr 03,7,7,0,0
Apr 04,7,7,0,0
Apr 05,7,7,0,0
Apr 06,7,7,0,0
Apr 07,7,7,0,0
Apr 08,8,6,0,2
Apr 09,8,6,0,2
Apr 10,8,6,0,2
Apr 11,8,6,0,2
Apr 12,8,6,0,2
Apr 13,8,6,0,2
Apr 14,8,6,0,2
Apr 15,8,6,0,2
Apr 16,8,6,0,2
Apr 17,8,6,0,2
Apr 18,8,6,0,2
Apr 19,8,6,0,2
Apr 20,9,7,0,2
Apr 21,9,7,0,2
Apr 22,9,7,0,2
Apr 23,9,7,0,2
Apr 24,9,7,0,2
Apr 25,9,7,0,2
Apr 26,9,7,0,2
Apr 27,9,7,0,2
Apr 28,10,8,0,2
Apr 29,10,8,0,2
Apr 30,11,9,0,2
May 01,11,9,0,2
May 02,11,9,0,2
May 03,11,9,0,2
May 04,11,9,0,2
May 05,11,9,0,2
May 06,12,10,0,2
May 07,12,10,0,2
May 08,12,10,0,2
May 09,12,10,0,2
May 10,12,10,0,2
May 11,12,10,0,2
May 12,12,10,0,2
May 13,12,10,0,2
May 14,12,10,0,2
May 15,12,10,0,2
May 16,12,10,0,2
May 17,12,10,0,2
May 18,12,10,0,2
May 19,12,10,0,2
May 20,12,10,0,2
May 21,12,10,0,2
May 22,12,10,0,2
May 23,12,10,0,2
May 24,12,10,0,2
May 25,12,10,0,2
May 26,12,10,0,2
May 27,12,10,0,2
May 28,12,10,0,2
May 29,12,10,0,2
May 30,12,10,0,2
May 31,12,10,0,2
Jun 01,12,10,0,2
Jun 02,12,10,0,2
Jun 03,12,10,0,2
Jun 04,12,10,0,2
Jun 05,12,10,0,2
Jun 06,12,0,0,12
Jun 07,12,0,0,12
Jun 08,12,0,0,12
Jun 09,12,0,0,12
Jun 10,12,0,0,12
Jun 11,12,0,0,12
Jun 12,12,0,0,12
Jun 13,12,0,0,12
Jun 14,12,0,0,12
Jun 15,12,0,0,12
Jun 16,12,0,0,12
Jun 17,12,0,0,12
Jun 18,12,0,0,12
Jun 19,12,0,0,12
Jun 20,12,0,0,12
Jun 21,12,0,0,12
Jun 22,12,0,0,12
Jun 23,12,0,0,12
Jun 24,12,0,0,12
Jun 25,12,0,0,12
Jun 26,12,0,0,12
Jun 27,12,0,0,12
Jun 28,12,0,0,12
Jun 29,12,0,0,12
Jun 30,12,0,0,12
Jul 01,12,0,0,12
Jul 02,12,0,0,12
Jul 03,12,0,0,12
Jul 04,12,0,0,12
Jul 05,12,0,0,12
Jul 06,12,0,0,12
Jul 07,12,0,0,12
Jul 08,12,0,0,12
Jul 09,12,0,0,12
Jul 10,12,0,0,12
Jul 11,12,0,0,12
Jul 12,12,0,0,12
Jul 13,12,0,0,12
Jul 14,12,0,0,12
Jul 15,12,0,0,12
Jul 16,12,0,0,12
Jul 17,12,0,0,12
Jul 18,12,0,0,12
Jul 19,12,0,0,12
Jul 20,12,0,0,12
Jul 21,12,0,0,12
Jul 22,12,0,0,12
Jul 23,12,0,0,12
Jul 24,12,0,0,12
Jul 25,12,0,0,12
Jul 26,12,0,0,12
Jul 27,12,0,0,12
Jul 28,12,0,0,12
Jul 29,12,0,0,12
Jul 30,12,0,0,12
Jul 31,12,0,0,12
Aug 01,12,0,0,12
Aug 02,12,0,0,12
Aug 03,12,0,0,12
Aug 04,12,0,0,12
Aug 05,12,0,0,12
Aug 06,12,0,0,12
Aug 07,12,0,0,12
Aug 08,12,0,0,12
Aug 09,12,0,0,12
Aug 10,12,0,0,12
Aug 11,12,0,0,12
Aug 12,12,0,0,12
Aug 13,12,0,0,12
Aug 14,12,0,0,12
Aug 15,12,0,0,12
Aug 16,12,0,0,12
Aug 17,12,0,0,12
Aug 18,12,0,0,12
Aug 19,12,0,0,12
Aug 20,12,0,0,12
