Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,2,2,0,0
Mar 14,2,2,0,0
Mar 15,17,17,0,0
Mar 16,17,17,0,0
Mar 17,33,33,0,0
Mar 18,36,36,0,0
Mar 19,42,42,0,0
Mar 20,65,64,0,1
Mar 21,70,55,0,15
Mar 22,70,55,0,15
Mar 23,84,69,0,15
Mar 24,84,69,0,15
Mar 25,106,91,0,15
Mar 26,107,91,1,16
Mar 27,113,80,2,33
Mar 28,119,78,2,41
Mar 29,119,77,3,42
Mar 30,135,93,3,42
Mar 31,135,93,3,42
Apr 01,144,98,3,46
Apr 02,146,98,5,48
Apr 03,153,94,7,59
Apr 04,155,96,7,59
Apr 05,159,100,7,59
Apr 06,165,93,7,72
Apr 07,166,94,7,72
Apr 08,167,93,9,74
Apr 09,171,78,9,93
Apr 10,175,82,9,93
Apr 11,175,73,9,102
Apr 12,181,79,9,102
Apr 13,189,70,9,119
Apr 14,189,70,9,119
Apr 15,197,77,9,120
Apr 16,204,84,9,120
Apr 17,204,84,9,120
Apr 18,227,101,9,126
Apr 19,256,130,9,126
Apr 20,285,158,10,127
Apr 21,288,156,10,132
Apr 22,298,166,10,132
Apr 23,298,166,10,132
Apr 24,318,176,10,142
Apr 25,323,181,10,142
Apr 26,325,178,10,147
Apr 27,329,177,10,152
Apr 28,329,177,10,152
Apr 29,331,179,10,152
Apr 30,333,181,10,152
May 01,335,183,10,152
May 02,345,187,10,158
May 03,357,199,10,158
May 04,357,189,10,168
May 05,361,193,10,168
May 06,379,193,10,186
May 07,381,186,10,195
May 08,388,188,10,200
May 09,402,202,10,200
May 10,414,211,10,203
May 11,422,207,10,215
May 12,423,193,10,230
May 13,440,210,10,230
May 14,455,225,10,230
May 15,459,220,10,239
May 16,504,253,10,251
May 17,541,290,10,251
May 18,618,355,10,263
May 19,618,355,10,263
May 20,824,552,10,272
May 21,882,610,10,272
May 22,944,672,10,272
May 23,1010,738,10,272
May 24,1121,849,10,272
May 25,1177,865,10,312
May 26,1211,898,11,313
May 27,1245,932,11,313
May 28,1325,1012,11,313
May 29,1370,1054,14,316
May 30,1459,1143,14,316
May 31,1510,1194,14,316
Jun 01,1662,1343,17,319
Jun 02,1819,1467,18,352
Jun 03,1952,1598,20,354
Jun 04,2087,1733,20,354
Jun 05,2145,1791,20,354
Jun 06,2316,1909,22,407
Jun 07,2377,1868,22,509
Jun 08,2473,1964,22,509
Jun 09,2632,2122,23,510
Jun 10,2738,2228,23,510
Jun 11,2814,2304,23,510
Jun 12,2879,2369,23,510
Jun 13,2904,2393,24,511
Jun 14,2904,2393,24,511
Jun 15,3062,2201,26,861
Jun 16,3150,2288,27,862
Jun 17,3386,2523,28,863
