Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,0,0,0,0
Mar 31,0,0,0,0
Apr 01,0,0,0,0
Apr 02,0,0,0,0
Apr 03,0,0,0,0
Apr 04,4,4,0,0
Apr 05,4,4,0,0
Apr 06,4,4,0,0
Apr 07,4,4,0,0
Apr 08,4,4,0,0
Apr 09,4,4,0,0
Apr 10,4,4,0,0
Apr 11,6,6,0,0
Apr 12,6,6,0,0
Apr 13,6,6,0,0
Apr 14,6,6,0,0
Apr 15,6,6,0,0
Apr 16,6,6,0,0
Apr 17,6,6,0,0
Apr 18,6,6,0,0
Apr 19,6,6,0,0
Apr 20,6,6,0,0
Apr 21,6,6,0,0
Apr 22,6,6,0,0
Apr 23,6,1,0,5
Apr 24,6,1,0,5
Apr 25,6,1,0,5
Apr 26,6,1,0,5
Apr 27,6,1,0,5
Apr 28,6,1,0,5
Apr 29,6,1,0,5
Apr 30,6,1,0,5
May 01,6,1,0,5
May 02,6,1,0,5
May 03,6,1,0,5
May 04,6,1,0,5
May 05,6,1,0,5
May 06,6,1,0,5
May 07,6,1,0,5
May 08,6,1,0,5
May 09,6,1,0,5
May 10,6,1,0,5
May 11,6,0,0,6
May 12,6,0,0,6
May 13,6,0,0,6
May 14,6,0,0,6
May 15,6,0,0,6
May 16,6,0,0,6
May 17,6,0,0,6
May 18,6,0,0,6
May 19,6,0,0,6
May 20,6,0,0,6
May 21,6,0,0,6
May 22,6,0,0,6
May 23,6,0,0,6
May 24,9,3,0,6
May 25,9,3,0,6
May 26,9,2,1,7
May 27,9,2,1,7
May 28,9,2,1,7
May 29,9,2,1,7
May 30,9,2,1,7
May 31,9,2,1,7
Jun 01,9,2,1,7
Jun 02,9,2,1,7
Jun 03,9,2,1,7
Jun 04,9,2,1,7
Jun 05,9,2,1,7
Jun 06,9,2,1,7
Jun 07,9,2,1,7
Jun 08,9,2,1,7
Jun 09,9,2,1,7
Jun 10,9,2,1,7
Jun 11,9,2,1,7
Jun 12,9,2,1,7
Jun 13,9,2,1,7
Jun 14,9,0,1,9
Jun 15,9,0,1,9
Jun 16,9,0,1,9
Jun 17,9,0,1,9
Jun 18,9,0,1,9
Jun 19,9,0,1,9
Jun 20,9,0,1,9
Jun 21,9,0,1,9
Jun 22,10,1,1,9
Jun 23,10,1,1,9
Jun 24,10,1,1,9
Jun 25,10,1,1,9
Jun 26,10,1,1,9
Jun 27,10,1,1,9
Jun 28,10,1,1,9
Jun 29,10,1,1,9
Jun 30,10,1,1,9
Jul 01,10,1,1,9
Jul 02,10,1,1,9
Jul 03,10,1,1,9
Jul 04,10,1,1,9
Jul 05,10,1,1,9
Jul 06,10,1,1,9
Jul 07,10,1,1,9
Jul 08,10,1,1,9
Jul 09,10,1,1,9
Jul 10,10,1,1,9
Jul 11,10,1,1,9
Jul 12,10,1,1,9
Jul 13,10,1,1,9
Jul 14,10,1,1,9
Jul 15,10,1,1,9
Jul 16,10,1,1,9
Jul 17,10,1,1,9
Jul 18,10,1,1,9
Jul 19,10,1,1,9
Jul 20,10,1,1,9
Jul 21,10,1,1,9
Jul 22,10,1,1,9
Jul 23,10,1,1,9
Jul 24,10,1,1,9
Jul 25,10,1,1,9
Jul 26,10,1,1,9
Jul 27,10,1,1,9
Jul 28,10,1,1,9
Jul 29,10,1,1,9
Jul 30,10,1,1,9
Jul 31,10,1,1,9
Aug 01,10,1,1,9
Aug 02,10,1,1,9
Aug 03,10,1,1,9
Aug 04,10,1,1,9
Aug 05,10,1,1,9
Aug 06,10,1,1,9
Aug 07,10,1,1,9
Aug 08,10,1,1,9
Aug 09,10,1,1,9
Aug 10,10,1,1,9
Aug 11,10,1,1,9
Aug 12,10,1,1,9
Aug 13,10,1,1,9
Aug 14,10,1,1,9
Aug 15,10,1,1,9
Aug 16,10,1,1,9
Aug 17,10,1,1,9
Aug 18,10,1,1,9
Aug 19,10,1,1,9
Aug 20,10,1,1,9
