Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,0,0,0,0
Mar 31,0,0,0,0
Apr 01,0,0,0,0
Apr 02,0,0,0,0
Apr 03,0,0,0,0
Apr 04,0,0,0,0
Apr 05,0,0,0,0
Apr 06,0,0,0,0
Apr 07,0,0,0,0
Apr 08,0,0,0,0
Apr 09,0,0,0,0
Apr 10,1,1,0,0
Apr 11,1,1,0,0
Apr 12,1,1,0,0
Apr 13,1,1,0,0
Apr 14,1,1,0,0
Apr 15,1,1,0,0
Apr 16,1,1,0,0
Apr 17,1,1,0,0
Apr 18,1,1,0,0
Apr 19,1,1,0,0
Apr 20,1,1,0,0
Apr 21,1,1,0,0
Apr 22,1,1,0,0
Apr 23,1,1,0,0
Apr 24,1,0,0,1
Apr 25,1,0,0,1
Apr 26,1,0,0,1
Apr 27,1,0,0,1
Apr 28,1,0,0,1
Apr 29,6,5,0,1
Apr 30,6,3,2,3
May 01,7,4,2,3
May 02,10,7,2,3
May 03,10,7,2,3
May 04,12,9,2,3
May 05,22,17,4,5
May 06,25,19,5,6
May 07,25,19,5,6
May 08,34,26,7,8
May 09,34,26,7,8
May 10,51,42,8,9
May 11,56,46,9,10
May 12,65,54,10,11
May 13,70,57,12,13
May 14,85,72,12,13
May 15,106,90,15,16
May 16,122,103,18,19
May 17,128,107,20,21
May 18,130,109,20,21
May 19,167,134,28,33
May 20,184,149,30,35
May 21,197,159,33,38
May 22,209,165,33,44
May 23,212,162,39,50
May 24,222,170,42,52
May 25,233,179,44,54
May 26,249,190,49,59
May 27,256,193,53,63
May 28,278,210,57,68
May 29,283,207,65,76
May 30,310,220,77,90
May 31,323,229,80,94
Jun 01,354,256,84,98
Jun 02,399,297,87,102
Jun 03,419,307,95,112
Jun 04,453,333,103,120
Jun 05,469,335,111,134
Jun 06,482,348,111,134
Jun 07,484,349,112,135
Jun 08,496,361,112,135
Jun 09,524,374,127,150
Jun 10,560,408,129,152
Jun 11,591,432,136,159
Jun 12,632,465,139,167
Jun 13,705,506,160,199
Jun 14,728,511,164,217
Jun 15,844,557,208,287
Jun 16,885,580,214,305
Jun 17,902,387,244,515
Jun 18,909,388,248,521
Jun 19,919,380,251,539
Jun 20,922,340,254,582
Jun 21,941,338,256,603
Jun 22,967,360,257,607
Jun 23,992,375,261,617
Jun 24,1015,362,274,653
Jun 25,1076,402,288,674
Jun 26,1089,394,293,695
Jun 27,1103,390,296,713
Jun 28,1118,386,302,732
Jun 29,1128,392,304,736
Jun 30,1158,358,312,800
Jul 01,1190,368,318,822
Jul 02,1221,383,325,838
Jul 03,1240,369,335,871
Jul 04,1248,374,337,874
Jul 05,1265,375,338,890
Jul 06,1284,364,345,920
Jul 07,1297,358,348,939
Jul 08,1318,372,351,946
Jul 09,1356,376,361,980
Jul 10,1380,386,364,994
Jul 11,1389,382,365,1007
Jul 12,1465,389,417,1076
Jul 13,1498,399,424,1099
Jul 14,1516,402,429,1114
Jul 15,1526,399,433,1127
Jul 16,1552,419,438,1133
Jul 17,1576,441,440,1135
Jul 18,1581,437,443,1144
Jul 19,1606,449,445,1157
Jul 20,1619,458,447,1161
Jul 21,1629,432,456,1197
Jul 22,1640,431,458,1209
Jul 23,1654,431,461,1223
Jul 24,1674,426,469,1248
Jul 25,1674,420,474,1254
Jul 26,1681,405,479,1276
Jul 27,1691,375,483,1316
Jul 28,1703,379,484,1324
Jul 29,1711,377,485,1334
Jul 30,1726,383,487,1343
Jul 31,1728,373,493,1355
Aug 01,1730,374,494,1356
Aug 02,1734,375,497,1359
Aug 03,1734,372,499,1362
Aug 04,1760,391,506,1369
Aug 05,1763,361,508,1402
Aug 06,1768,362,508,1406
Aug 07,1796,377,512,1419
Aug 08,1797,375,512,1422
Aug 09,1804,376,515,1428
Aug 10,1831,398,518,1433
Aug 11,1831,393,523,1438
Aug 12,1841,376,528,1465
Aug 13,1847,370,528,1477
Aug 14,1858,321,528,1537
Aug 15,1858,317,528,1541
Aug 16,1869,326,530,1543
Aug 17,1882,302,535,1580
Aug 18,1889,300,537,1589
Aug 19,1892,298,539,1594
Aug 20,1899,300,541,1599
