Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,0,0,0,0
Mar 31,0,0,0,0
Apr 01,0,0,0,0
Apr 02,0,0,0,0
Apr 03,0,0,0,0
Apr 04,0,0,0,0
Apr 05,0,0,0,0
Apr 06,0,0,0,0
Apr 07,0,0,0,0
Apr 08,0,0,0,0
Apr 09,0,0,0,0
Apr 10,1,1,0,0
Apr 11,1,1,0,0
Apr 12,1,1,0,0
Apr 13,1,1,0,0
Apr 14,1,1,0,0
Apr 15,1,1,0,0
Apr 16,1,1,0,0
Apr 17,1,1,0,0
Apr 18,1,1,0,0
Apr 19,1,1,0,0
Apr 20,1,1,0,0
Apr 21,1,1,0,0
Apr 22,1,1,0,0
Apr 23,1,1,0,0
Apr 24,1,0,0,1
Apr 25,1,0,0,1
Apr 26,1,0,0,1
Apr 27,1,0,0,1
Apr 28,1,0,0,1
Apr 29,6,5,0,1
Apr 30,6,3,2,3
May 01,7,4,2,3
May 02,10,7,2,3
May 03,10,7,2,3
May 04,12,9,2,3
May 05,22,17,4,5
May 06,25,19,5,6
May 07,25,19,5,6
May 08,34,26,7,8
May 09,34,26,7,8
May 10,51,42,8,9
May 11,56,46,9,10
May 12,65,54,10,11
May 13,70,57,12,13
May 14,85,72,12,13
May 15,106,90,15,16
May 16,122,103,18,19
May 17,128,107,20,21
May 18,130,109,20,21
May 19,167,134,28,33
May 20,184,149,30,35
May 21,197,159,33,38
May 22,209,165,33,44
May 23,212,162,39,50
May 24,222,170,42,52
May 25,233,179,44,54
May 26,249,190,49,59
May 27,256,193,53,63
