Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,2,2,0,0
Mar 19,2,2,0,0
Mar 20,2,2,0,0
Mar 21,2,2,0,0
Mar 22,3,3,0,0
Mar 23,3,3,0,0
Mar 24,3,3,0,0
Mar 25,12,12,0,0
Mar 26,16,16,0,0
Mar 27,22,22,0,0
Mar 28,28,28,0,0
Mar 29,29,29,0,0
Mar 30,35,35,0,0
Mar 31,36,36,0,0
Apr 01,36,36,0,0
Apr 02,39,38,1,1
Apr 03,39,36,1,3
Apr 04,39,36,1,3
Apr 05,39,35,1,4
Apr 06,39,33,1,6
Apr 07,39,31,1,8
Apr 08,39,31,1,8
Apr 09,39,14,1,25
Apr 10,40,13,2,27
Apr 11,40,10,2,30
Apr 12,43,11,2,32
Apr 13,45,13,2,32
Apr 14,45,13,2,32
Apr 15,48,16,2,32
Apr 16,48,16,2,32
Apr 17,52,20,2,32
Apr 18,57,22,2,35
Apr 19,61,25,3,36
Apr 20,65,27,3,38
Apr 21,70,32,3,38
Apr 22,74,36,3,38
Apr 23,76,36,3,40
Apr 24,84,44,3,40
Apr 25,84,44,3,40
Apr 26,88,43,3,45
Apr 27,89,44,3,45
Apr 28,95,50,3,45
Apr 29,97,40,3,57
Apr 30,106,48,3,58
May 01,109,32,3,77
May 02,119,41,3,78
May 03,124,43,3,81
May 04,137,56,3,81
May 05,138,43,3,95
May 06,146,41,4,105
May 07,153,46,4,107
May 08,167,52,4,115
May 09,252,133,7,119
May 10,267,143,7,124
May 11,267,143,7,124
May 12,441,317,7,124
May 13,446,315,7,131
May 14,654,523,7,131
May 15,654,523,7,131
May 16,679,489,7,190
May 17,753,558,7,195
May 18,761,562,7,199
May 19,772,573,7,199
May 20,832,628,7,204
May 21,866,557,7,309
May 22,920,577,7,343
May 23,920,577,7,343
May 24,920,577,7,343
May 25,920,577,7,343
May 26,920,577,7,343
May 27,1057,271,7,786
May 28,1057,271,7,786
May 29,1057,271,7,786
May 30,1057,271,7,786
May 31,1057,271,7,786
Jun 01,1089,170,7,919
Jun 02,1089,170,7,919
Jun 03,1089,170,7,919
Jun 04,1089,170,7,919
Jun 05,1089,170,7,919
Jun 06,1089,170,7,919
Jun 07,1089,170,7,919
Jun 08,1200,278,10,922
Jun 09,1200,278,10,922
Jun 10,1200,278,10,922
Jun 11,1200,278,10,922
Jun 12,1321,207,10,1114
Jun 13,1357,243,10,1114
Jun 14,1358,225,11,1133
Jun 15,1382,229,11,1153
Jun 16,1405,252,11,1153
Jun 17,1412,259,11,1153
Jun 18,1416,261,11,1155
Jun 19,1430,225,11,1205
Jun 20,1430,225,11,1205
Jun 21,1430,225,11,1205
Jun 22,1430,225,11,1205
Jun 23,1477,246,18,1231
Jun 24,1489,248,18,1241
Jun 25,1497,256,18,1241
Jun 26,1531,277,21,1254
Jun 27,1531,277,21,1254
Jun 28,1557,224,22,1333
Jun 29,1568,235,22,1333
Jun 30,1594,241,24,1353
Jul 01,1632,254,30,1378
Jul 02,1632,254,30,1378
Jul 03,1632,254,30,1378
Jul 04,1632,254,30,1378
Jul 05,1632,254,30,1378
Jul 06,1632,254,30,1378
Jul 07,1895,505,42,1390
Jul 08,1937,480,43,1457
Jul 09,2006,549,43,1457
Jul 10,2035,574,43,1461
Jul 11,2134,658,58,1476
Jul 12,2205,688,83,1517
Jul 13,2283,766,83,1517
Jul 14,2363,845,84,1518
Jul 15,2501,975,85,1526
Jul 16,2620,1094,85,1526
Jul 17,2810,1251,109,1559
Jul 18,2980,1398,120,1582
Jul 19,3148,1531,120,1617
Jul 20,3326,1578,128,1748
Jul 21,3386,1638,128,1748
Jul 22,3583,1778,128,1805
Jul 23,3789,1978,134,1811
Jul 24,3856,2043,136,1813
Jul 25,4328,2236,139,2092
Jul 26,4481,1992,139,2489
Jul 27,4552,1597,140,2955
Jul 28,5002,1665,142,3337
Jul 29,5249,1818,146,3431
Jul 30,5555,2117,149,3438
Jul 31,5963,2009,151,3954
Aug 01,6228,1933,165,4295
Aug 02,6347,1684,170,4663
Aug 03,6580,1708,171,4872
Aug 04,6793,1511,173,5282
Aug 05,7022,1179,176,5843
Aug 06,7164,1179,199,5985
Aug 07,7486,1022,200,6464
Aug 08,7903,1269,203,6634
Aug 09,8085,1152,235,6933
Aug 10,8210,1167,241,7043
Aug 11,8275,1030,241,7245
Aug 12,8501,1022,246,7479
Aug 13,8663,1016,246,7647
Aug 14,9021,1179,256,7842
Aug 15,9186,861,260,8325
Aug 16,9343,671,260,8672
Aug 17,9839,1000,264,8839
Aug 18,9981,941,264,9040
Aug 19,10218,823,269,9395
Aug 20,10372,972,274,9400
