Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,2,2,0,0
Mar 19,2,2,0,0
Mar 20,2,2,0,0
Mar 21,2,2,0,0
Mar 22,3,3,0,0
Mar 23,3,3,0,0
Mar 24,3,3,0,0
Mar 25,12,12,0,0
Mar 26,16,16,0,0
Mar 27,22,22,0,0
Mar 28,28,28,0,0
Mar 29,29,29,0,0
Mar 30,35,35,0,0
Mar 31,36,36,0,0
Apr 01,36,36,0,0
Apr 02,39,38,1,1
Apr 03,39,36,1,3
Apr 04,39,36,1,3
Apr 05,39,35,1,4
Apr 06,39,33,1,6
Apr 07,39,31,1,8
Apr 08,39,31,1,8
Apr 09,39,14,1,25
Apr 10,40,13,2,27
Apr 11,40,10,2,30
Apr 12,43,11,2,32
Apr 13,45,13,2,32
Apr 14,45,13,2,32
Apr 15,48,16,2,32
Apr 16,48,16,2,32
Apr 17,52,20,2,32
Apr 18,57,22,2,35
Apr 19,61,25,3,36
Apr 20,65,27,3,38
Apr 21,70,32,3,38
Apr 22,74,36,3,38
Apr 23,76,36,3,40
Apr 24,84,44,3,40
Apr 25,84,44,3,40
Apr 26,88,43,3,45
Apr 27,89,44,3,45
Apr 28,95,50,3,45
Apr 29,97,40,3,57
Apr 30,106,48,3,58
May 01,109,32,3,77
May 02,119,41,3,78
May 03,124,43,3,81
May 04,137,56,3,81
May 05,138,43,3,95
May 06,146,41,4,105
May 07,153,46,4,107
May 08,167,52,4,115
May 09,252,133,7,119
May 10,267,143,7,124
May 11,267,143,7,124
May 12,441,317,7,124
May 13,446,315,7,131
May 14,654,523,7,131
May 15,654,523,7,131
May 16,679,489,7,190
May 17,753,558,7,195
May 18,761,562,7,199
May 19,772,573,7,199
May 20,832,628,7,204
May 21,866,557,7,309
May 22,920,577,7,343
May 23,920,577,7,343
May 24,920,577,7,343
May 25,920,577,7,343
May 26,920,577,7,343
May 27,1057,271,7,786
