Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,1,1,0,0
Mar 21,3,3,0,0
Mar 22,3,3,0,0
Mar 23,3,2,1,1
Mar 24,3,2,1,1
Mar 25,3,2,1,1
Mar 26,3,2,1,1
Mar 27,5,4,1,1
Mar 28,7,6,1,1
Mar 29,7,6,1,1
Mar 30,7,6,1,1
Mar 31,8,7,1,1
Apr 01,8,7,1,1
Apr 02,9,8,1,1
Apr 03,9,8,1,1
Apr 04,9,8,1,1
Apr 05,9,8,1,1
Apr 06,10,9,1,1
Apr 07,11,9,2,2
Apr 08,11,8,3,3
Apr 09,11,8,3,3
Apr 10,13,10,3,3
Apr 11,14,11,3,3
Apr 12,14,11,3,3
Apr 13,17,14,3,3
Apr 14,17,14,3,3
Apr 15,23,19,3,4
Apr 16,23,19,3,4
Apr 17,24,19,3,5
Apr 18,25,20,3,5
Apr 19,25,20,3,5
Apr 20,25,20,3,5
Apr 21,28,23,3,5
Apr 22,28,22,4,6
Apr 23,28,22,4,6
Apr 24,29,23,4,6
Apr 25,31,25,4,6
Apr 26,31,25,4,6
Apr 27,31,22,4,9
Apr 28,32,23,4,9
Apr 29,32,23,4,9
Apr 30,34,25,4,9
May 01,34,25,4,9
May 02,34,25,4,9
May 03,34,25,4,9
May 04,34,25,4,9
May 05,34,25,4,9
May 06,34,25,4,9
May 07,34,25,4,9
May 08,34,21,4,13
May 09,35,22,4,13
May 10,36,23,4,13
May 11,36,23,4,13
May 12,36,23,4,13
May 13,37,21,4,16
May 14,37,20,4,17
May 15,42,25,4,17
May 16,42,25,4,17
May 17,44,23,4,21
May 18,46,24,4,22
May 19,46,24,4,22
May 20,48,26,4,22
May 21,51,29,4,22
May 22,51,29,4,22
May 23,56,34,4,22
May 24,56,27,4,29
May 25,56,27,4,29
May 26,56,27,4,29
May 27,132,103,4,29
May 28,149,117,4,32
May 29,149,117,4,32
May 30,174,141,4,33
May 31,178,145,4,33
Jun 01,203,170,4,33
Jun 02,206,173,4,33
Jun 03,222,189,4,33
Jun 04,237,202,4,35
Jun 05,265,228,4,37
Jun 06,279,242,4,37
Jun 07,282,244,4,38
Jun 08,287,237,4,50
Jun 09,314,264,4,50
Jun 10,320,267,4,53
Jun 11,332,277,4,55
Jun 12,343,288,4,55
Jun 13,356,298,4,58
Jun 14,383,325,4,58
Jun 15,387,329,4,58
Jun 16,391,325,4,66
Jun 17,401,334,4,67
Jun 18,463,396,4,67
Jun 19,479,412,4,67
Jun 20,479,412,4,67
Jun 21,489,419,6,70
Jun 22,512,442,6,70
Jun 23,525,455,6,70
Jun 24,530,401,6,129
Jun 25,551,417,6,134
Jun 26,561,420,6,141
Jun 27,567,419,6,148
Jun 28,567,419,6,148
Jun 29,574,415,7,159
Jun 30,591,422,7,169
Jul 01,605,432,7,173
Jul 02,617,437,7,180
Jul 03,625,442,7,183
Jul 04,698,509,8,189
Jul 05,716,527,8,189
Jul 06,734,528,9,206
Jul 07,787,577,9,210
Jul 08,885,670,9,215
Jul 09,926,608,12,318
Jul 10,942,609,13,333
Jul 11,982,644,18,338
Jul 12,985,639,18,346
Jul 13,1034,672,19,362
Jul 14,1064,701,20,363
Jul 15,1089,674,20,415
Jul 16,1362,914,23,448
Jul 17,1420,958,24,462
Jul 18,1478,1014,25,464
Jul 19,1611,1114,25,497
Jul 20,1713,1215,26,498
Jul 21,1820,1306,26,514
Jul 22,2034,1498,26,536
Jul 23,2124,1586,28,538
Jul 24,2296,1750,32,546
Jul 25,2434,1882,34,552
Jul 26,2512,1960,34,552
Jul 27,2704,2126,36,578
Jul 28,2817,2173,40,644
Jul 29,2879,1951,41,928
Jul 30,3092,2115,53,977
Jul 31,3169,2098,67,1071
Aug 01,3659,2579,69,1080
Aug 02,3921,2835,70,1086
Aug 03,4075,2938,80,1137
Aug 04,4221,2902,81,1319
Aug 05,4221,2902,81,1319
Aug 06,4339,2991,84,1348
Aug 07,4451,3004,102,1447
Aug 08,4575,3057,102,1518
Aug 09,4649,3108,104,1541
Aug 10,4748,3120,104,1628
Aug 11,4818,3190,104,1628
Aug 12,4893,3151,122,1742
Aug 13,4990,2935,128,2055
Aug 14,5072,2946,128,2126
Aug 15,5176,2999,130,2177
Aug 16,5261,3037,132,2224
Aug 17,5308,1325,135,3983
Aug 18,5378,1132,141,4246
Aug 19,5643,1051,150,4592
Aug 20,5745,1069,151,4676
