Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,5,5,0,0
Feb 25,11,11,0,0
Feb 26,26,26,0,0
Feb 27,43,43,0,0
Feb 28,45,45,0,0
Feb 29,45,45,0,0
Mar 01,46,46,0,0
Mar 02,56,56,0,0
Mar 03,56,56,0,0
Mar 04,56,56,0,0
Mar 05,58,58,0,0
Mar 06,58,57,0,1
Mar 07,61,60,0,1
Mar 08,64,63,0,1
Mar 09,65,64,0,1
Mar 10,69,68,0,1
Mar 11,72,69,0,3
Mar 12,80,75,0,5
Mar 13,100,95,0,5
Mar 14,104,97,0,7
Mar 15,112,103,0,9
Mar 16,123,114,0,9
Mar 17,130,118,0,12
Mar 18,142,127,0,15
Mar 19,148,130,0,18
Mar 20,159,137,0,22
Mar 21,176,149,0,27
Mar 22,188,158,0,30
Mar 23,189,159,0,30
Mar 24,191,152,0,39
Mar 25,195,152,0,43
Mar 26,208,159,0,49
Mar 27,225,168,0,57
Mar 28,235,171,0,64
Mar 29,255,188,0,67
Mar 30,266,194,0,72
Mar 31,289,216,0,73
Apr 01,317,237,0,80
Apr 02,342,261,0,81
Apr 03,417,335,0,82
Apr 04,479,385,1,94
Apr 05,556,456,1,100
Apr 06,665,561,1,104
Apr 07,743,637,1,106
Apr 08,855,743,1,112
Apr 09,910,798,1,112
Apr 10,993,869,1,124
Apr 11,1154,1020,1,134
Apr 12,1234,1091,1,143
