Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,1,1,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,3,3,0,0
Mar 11,3,3,0,0
Mar 12,3,3,0,0
Mar 13,6,6,0,0
Mar 14,9,8,0,1
Mar 15,14,13,0,1
Mar 16,18,17,0,1
Mar 17,26,25,0,1
Mar 18,34,33,0,1
Mar 19,48,47,0,1
Mar 20,69,67,1,2
Mar 21,99,97,1,2
Mar 22,143,141,1,2
Mar 23,179,177,1,2
Mar 24,209,206,2,3
Mar 25,274,269,4,5
Mar 26,299,294,4,5
Mar 27,358,352,5,6
Mar 28,394,386,7,8
Mar 29,460,452,7,8
Mar 30,491,477,7,14
Mar 31,537,522,8,15
Apr 01,581,566,8,15
Apr 02,649,633,9,16
Apr 03,696,680,9,16
Apr 04,771,753,11,18
Apr 05,811,791,13,20
Apr 06,843,820,15,23
Apr 07,880,857,15,23
Apr 08,912,889,15,23
Apr 09,955,931,16,24
Apr 10,999,923,22,76
Apr 11,1026,949,23,77
Apr 12,1053,933,23,120
