Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,3,3,0,0
Mar 08,3,3,0,0
Mar 09,4,4,0,0
Mar 10,5,5,0,0
Mar 11,7,7,0,0
Mar 12,9,9,0,0
Mar 13,12,11,0,1
Mar 14,18,17,0,1
Mar 15,21,19,0,2
Mar 16,30,28,0,2
Mar 17,38,36,0,2
Mar 18,48,46,0,2
Mar 19,53,51,0,2
Mar 20,64,62,0,2
Mar 21,73,71,0,2
Mar 22,90,88,0,2
Mar 23,107,105,0,2
Mar 24,110,108,0,2
Mar 25,129,127,0,2
Mar 26,134,132,0,2
Mar 27,139,137,0,2
Mar 28,149,147,0,2
Mar 29,151,149,0,2
Mar 30,156,154,0,2
Mar 31,169,167,0,2
Apr 01,188,186,0,2
Apr 02,196,194,0,2
Apr 03,202,200,0,2
Apr 04,213,211,0,2
Apr 05,227,222,0,5
Apr 06,241,236,0,5
Apr 07,293,288,0,5
Apr 08,299,282,1,17
Apr 09,337,319,2,18
Apr 10,350,332,2,18
Apr 11,370,351,3,19
Apr 12,378,331,3,47
