Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,2,2,0,0
Mar 17,3,3,0,0
Mar 18,3,3,0,0
Mar 19,4,4,0,0
Mar 20,7,7,0,0
Mar 21,11,11,0,0
Mar 22,11,11,0,0
Mar 23,24,24,0,0
Mar 24,36,36,0,0
Mar 25,36,36,0,0
Mar 26,36,36,0,0
Mar 27,50,50,0,0
Mar 28,63,63,0,0
Mar 29,63,63,0,0
Mar 30,82,72,0,10
Mar 31,94,83,1,11
Apr 01,101,90,1,11
Apr 02,116,105,1,11
Apr 03,128,116,2,12
Apr 04,134,118,2,16
Apr 05,147,131,2,16
Apr 06,164,147,2,17
Apr 07,171,147,2,24
Apr 08,184,160,2,24
Apr 09,184,156,2,28
Apr 10,191,139,2,52
Apr 11,196,134,3,62
Apr 12,196,134,3,62
