Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,2,2,0,0
Feb 29,4,4,0,0
Mar 01,5,5,0,0
Mar 02,6,6,0,0
Mar 03,6,5,0,1
Mar 04,6,5,0,1
Mar 05,6,5,0,1
Mar 06,6,5,0,1
Mar 07,6,5,0,1
Mar 08,7,6,0,1
Mar 09,7,3,0,4
Mar 10,7,3,0,4
Mar 11,11,7,0,4
Mar 12,12,8,0,4
Mar 13,15,11,0,4
Mar 14,26,22,0,4
Mar 15,43,39,0,4
Mar 16,53,49,0,4
Mar 17,82,78,0,4
Mar 18,93,89,0,4
Mar 19,118,113,1,5
Mar 20,164,159,1,5
Mar 21,203,197,2,6
Mar 22,251,245,2,6
Mar 23,316,309,3,7
Mar 24,367,359,4,8
Mar 25,405,396,5,9
Mar 26,475,465,6,10
Mar 27,585,573,8,12
Mar 28,717,701,12,16
Mar 29,848,797,16,51
Mar 30,993,938,20,55
Mar 31,1094,1031,28,63
Apr 01,1215,1151,29,64
Apr 02,1378,1306,37,72
Apr 03,1510,827,50,683
Apr 04,1688,995,60,693
Apr 05,1890,1178,79,712
Apr 06,2143,1416,94,727
Apr 07,2439,1681,125,758
Apr 08,2785,2011,141,774
Apr 09,3181,2374,174,807
Apr 10,3441,2614,194,827
Apr 11,3844,2978,233,866
Apr 12,4219,2174,273,2045
