Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,2,2,0,0
Mar 23,3,3,0,0
Mar 24,3,3,0,0
Mar 25,7,6,1,1
Mar 26,10,9,1,1
Mar 27,10,9,1,1
Mar 28,10,9,1,1
Mar 29,18,17,1,1
Mar 30,27,24,3,3
Mar 31,34,31,3,3
Apr 01,74,69,5,5
Apr 02,98,93,5,5
Apr 03,120,115,5,5
Apr 04,144,136,8,8
Apr 05,184,161,10,23
Apr 06,253,217,10,36
Apr 07,278,241,11,37
Apr 08,342,303,11,39
Apr 09,410,359,11,51
Apr 10,438,386,11,52
Apr 11,491,439,11,52
Apr 12,529,442,12,87
