Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,1,1,0,0
Mar 07,6,6,0,0
Mar 08,7,7,0,0
Mar 09,9,9,0,0
Mar 10,11,11,0,0
Mar 11,17,17,0,0
Mar 12,22,22,0,0
Mar 13,38,38,0,0
Mar 14,43,43,0,0
Mar 15,71,71,0,0
Mar 16,86,85,0,1
Mar 17,117,116,0,1
Mar 18,145,144,0,1
Mar 19,234,232,1,2
Mar 20,263,258,4,5
Mar 21,318,312,5,6
Mar 22,363,357,5,6
Mar 23,395,389,5,6
Mar 24,416,408,7,8
Mar 25,480,470,9,10
Mar 26,580,557,9,23
Mar 27,635,608,11,27
Mar 28,671,639,16,32
Mar 29,852,818,18,34
Mar 30,950,873,24,77
Mar 31,1065,641,30,424
Apr 01,1323,891,38,432
Apr 02,1414,822,55,592
Apr 03,1595,997,61,598
Apr 04,1746,759,73,987
Apr 05,2281,1209,83,1072
Apr 06,2561,1472,92,1089
Apr 07,2954,1546,107,1408
Apr 08,4342,2888,121,1454
Apr 09,5256,3680,138,1576
Apr 10,5897,4159,169,1738
Apr 11,6848,4928,181,1920
Apr 12,7519,5528,193,1991
