Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,2,2,0,0
Mar 08,3,3,0,0
Mar 09,7,7,0,0
Mar 10,7,7,0,0
Mar 11,13,13,0,0
Mar 12,16,16,0,0
Mar 13,24,24,0,0
Mar 14,38,38,0,0
Mar 15,61,61,0,0
Mar 16,64,64,0,0
Mar 17,85,85,0,0
Mar 18,116,116,0,0
Mar 19,150,150,0,0
Mar 20,202,202,0,0
Mar 21,240,238,0,2
Mar 22,274,272,0,2
Mar 23,402,398,0,4
Mar 24,554,550,0,4
Mar 25,709,697,0,12
Mar 26,927,915,0,12
Mar 27,1170,1138,1,32
Mar 28,1187,1155,1,32
Mar 29,1280,1247,2,33
Mar 30,1326,1292,3,34
Mar 31,1353,1317,5,36
Apr 01,1380,1325,5,55
Apr 02,1462,1407,5,55
Apr 03,1505,1401,9,104
Apr 04,1585,1481,9,104
Apr 05,1655,1549,11,106
Apr 06,1686,1579,12,107
Apr 07,1749,1641,13,108
Apr 08,1845,1732,18,113
Apr 09,1934,1821,18,113
Apr 10,2003,1569,24,434
Apr 11,2028,1593,25,435
Apr 12,2173,1738,25,435
